"Label","larger CV at age 20","final base"
"N.Parms",105,106
"TOTAL",2708.74,2633.05
"Survey",30.24,29.2722
"Length_comp",583.411,569.289
"Age_comp",2071.86,2011.06
"Recruitment",23.072,23.3966
"Parm_priors",0.150614,0.0245204
"NatM_uniform_Fem_GP_1",0.182901,0.165249
"L_at_Amax_Fem_GP_1",46.0255,47.9006
"VonBert_K_Fem_GP_1",0.217296,0.196942
"CV_young_Fem_GP_1",0.0817903,0.105029
"CV_old_Fem_GP_1",0.1,0.0386426
"NatM_uniform_Mal_GP_1",0.181161,0.265697
"L_at_Amax_Mal_GP_1",-0.325926,-0.32826
"VonBert_K_Mal_GP_1",0.542276,0.526306
"CV_young_Mal_GP_1",0.0504659,0.235858
"CV_old_Mal_GP_1",0,0.1
"SR_LN(R0)",10.2694,10.0316
"Q_extraSD_CalCOFI_Survey(11)",0.374864,0.35495
"Size_DblN_peak_NoCA_HKL(1)",44.197,40.9735
"Size_DblN_ascend_se_NoCA_HKL(1)",4.63555,4.39925
"Size_DblN_peak_SoCA_HKL(2)",23.9936,23.7993
"Size_DblN_peak_CA_TWL(3)",46.8079,44.9044
"Size_DblN_ascend_se_CA_TWL(3)",4.61704,4.55625
"Size_DblN_peak_OR_WA_Comm(4)",52.5452,42.7525
"Size_DblN_ascend_se_OR_WA_Comm(4)",5.30363,4.55947
"Size_DblN_peak_CA_NET(5)",48.5085,46.9908
"Size_DblN_ascend_se_CA_NET(5)",4.45038,4.42563
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",48.4419,43.8942
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.33629,5.13617
"Size_DblN_peak_SoCA_Rec(7)",24.5058,24.7079
"Size_DblN_ascend_se_SoCA_Rec(7)",2.92336,2.92383
"Size_DblN_descend_se_SoCA_Rec(7)",3.00778,3.31823
"Size_DblN_end_logit_SoCA_Rec(7)",-0.602265,-1.11196
"Size_DblN_peak_TWL_discard(8)",30.3223,29.5523
"Size_DblN_ascend_se_TWL_discard(8)",4.35178,4.16685
"Size_DblN_descend_se_TWL_discard(8)",3.08018,3.19313
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.5305,51.6041
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",3.90917,4.15685
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",52.5149,48.8295
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.95765,4.8242
"Size_DblN_peak_CA_TWL(3)_BLK3repl_1875",37.0984,33.7915
"Size_DblN_ascend_se_CA_TWL(3)_BLK3repl_1875",3.88749,3.28981
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",33.9531,30.6778
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",4.28414,3.75181
"Bratio_2025",0.892719,0.83247
"SSB_unfished",11469.1,11922.2
"Totbio_unfished",54778,52043.2
"Recr_unfished",28836.6,22733.5
"Dead_Catch_SPR",2473.12,2113.52
"OFLCatch_2025",4830.27,3616.72
