ParName   Value   Gradient
MGparm[26]    -0.127972 -1.18684e-07
MGparm[27]     0.226604 -3.05012e-07
MGparm[28]     0.137299 -1.14572e-07
MGparm[29]   -0.0305073  2.47718e-07
MGparm[30]     0.125407  9.83515e-07
SR_parm[1]      10.5948 -3.44397e-06
recdev1(1965)     0.265461 -1.19666e-07
recdev1(1966)     0.182666 -1.93138e-07
recdev1(1967)     0.759604 -3.72788e-07
recdev1(1968)      1.01194 -3.19833e-07
recdev1(1969)     0.664217  -4.4325e-07
recdev1(1970)     0.921187 -3.00115e-07
recdev1(1971)    -0.279786 -1.62139e-07
recdev1(1972)    -0.384837 -6.51869e-08
recdev1(1973)      1.57755 -3.03107e-07
recdev1(1974)    -0.679693  3.58813e-08
recdev1(1975)       1.3252  5.83667e-07
recdev1(1976)      -1.2776  8.25972e-08
recdev1(1977)    -0.694174 -7.42722e-08
recdev1(1978)    -0.189726 -7.84634e-09
recdev1(1979)     0.834495   1.7492e-07
recdev1(1980)    -0.656625 -8.78825e-08
recdev1(1981)     -1.10125  -1.3486e-07
recdev1(1982)     -2.26258 -7.22114e-08
recdev1(1983)    -0.790004 -5.93464e-08
recdev1(1984)      2.00373 -1.03934e-06
recdev1(1985)     -1.09788  8.12505e-08
recdev1(1986)     0.457043 -4.66671e-09
recdev1(1987)     0.216953  1.60848e-07
recdev1(1988)     0.733802  5.77403e-07
recdev1(1989)     0.738188  7.50293e-07
recdev1(1990)   -0.0820711  3.22292e-07
recdev1(1991)     0.264548  3.53394e-07
recdev1(1992)    -0.170937   4.4258e-07
recdev1(1993)     0.838118  8.56515e-07
recdev1(1994)    -0.477264  2.55951e-07
recdev1(1995)    -0.567803  2.77614e-07
recdev1(1996)    -0.602908  -3.1211e-08
recdev1(1997)    -0.945058   1.0072e-07
recdev1(1998)     0.827341  3.52609e-07
recdev1(1999)      2.65203  2.92469e-06
recdev1(2000)     -1.25002  1.40484e-07
recdev1(2001)   -0.0719896  2.12797e-07
recdev1(2002)    -0.286432 -2.49402e-07
recdev1(2003)     0.184382 -1.04276e-06
recdev1(2004)     -1.36727 -3.84832e-07
recdev1(2005)      -1.8134 -4.48196e-07
recdev1(2006)     -1.63348  -4.2704e-07
recdev1(2007)    -0.488076 -8.67344e-07
recdev1(2008)    -0.608749 -1.38883e-07
recdev1(2009)      1.32697 -1.77708e-07
recdev1(2010)     0.971252 -5.61136e-07
recdev1(2011)     -0.50589 -2.70525e-07
recdev1(2012)    -0.249913 -5.86336e-07
recdev1(2013)     0.708728 -4.66209e-08
recdev1(2014)      1.07001 -1.17991e-08
Fcast_recruitments(2015)            0            0
Fcast_recruitments(2016)            0            0
Fcast_recruitments(2017)            0            0
Fcast_recruitments(2018)            0            0
Fcast_recruitments(2019)            0            0
Fcast_recruitments(2020)            0            0
Fcast_recruitments(2021)            0            0
Fcast_recruitments(2022)            0            0
Fcast_recruitments(2023)            0            0
Fcast_recruitments(2024)            0            0
Fcast_recruitments(2025)            0            0
Fcast_recruitments(2026)            0            0
Fcast_recruitments(2027)            0            0
Fcast_recruitments(2028)            0            0
selparm[1]      32.5025 -2.31695e-06
selparm[2]      7.97509  6.18462e-07
selparm[7]      35.9953  2.42758e-07
selparm[8]      6.47317 -2.07544e-07
selparm[13]      50.9996  -1.3829e-05
selparm[14]     -5.57001  5.06283e-07
selparm[15]      4.41309 -4.09114e-06
selparm[16]      4.70784 -3.85118e-07
selparm[17]      -20.335  1.62032e-07
selparm[18]     -20.4979  2.37359e-07
selparm[19]      40.8049   4.7539e-06
selparm[20]     -11.0502  9.01564e-09
selparm[21]      4.86102 -3.51975e-07
selparm[22]      2.81019  4.47847e-06
selparm[23]     -8.45699 -2.50825e-07
selparm[24]   -0.0188768    0.0012714
selparm[27]      13.1017  1.14723e-08
selparm[28]      13.0322 -8.72105e-08
selparm[29]      38.7413 -5.27925e-06
selparm[30]     -5.15033 -2.95997e-08
selparm[31]      3.69341  7.16033e-06
selparm[32]      3.36323 -6.94108e-07
selparm[33]     -7.48881  1.72937e-07
selparm[34]    -0.965276 -7.79192e-07
selparm[49]    -0.586328  3.49358e-05
selparm[50]   0.00658994 -5.58063e-08
selparm[51]     -1.29605  -1.2911e-06
selparm[52]   -0.0513332  3.88575e-06
selparm[53]     -1.16844  9.74045e-07
selparm[54]      4.60914 -4.32512e-06
